date,sales,profit,quantity,orders,sales_3_month_moving_average,month_number,month_name
2014-01-01,14236.895,2450.1907,284,32,,1,January
2014-02-01,4519.892,862.3084,159,28,,2,February
2014-03-01,55691.009,498.7298999999999,585,71,24815.932,3,March
2014-04-01,28295.345,3488.8352,536,66,29502.081999999995,4,April
2014-05-01,23648.287,2738.7096,466,69,35878.21366666667,5,May
2014-06-01,34595.1276,4976.5244,521,66,28846.253199999996,6,June
2014-07-01,33946.393,-841.4826,550,65,30729.935866666663,7,July
2014-08-01,27909.4685,5318.105,609,72,32150.3297,8,August
2014-09-01,81777.3508,8328.0994,1000,130,47877.73743333333,9,September
2014-10-01,31453.393,3448.2573,573,78,47046.73743333333,10,October
2014-11-01,78628.7167,9292.1269,1219,151,63953.15349999999,11,November
2014-12-01,69545.6205,8983.5699,1079,141,59875.91006666666,12,December
2015-01-01,18174.0756,-3281.007,236,29,55449.47093333333,1,January
2015-02-01,11951.411,2813.8508,239,36,33223.702366666665,2,February
2015-03-01,38726.252,9732.097800000001,515,79,22950.579533333326,3,March
2015-04-01,34195.2085,4187.4962,543,72,28290.95716666666,4,April
2015-05-01,30131.6865,4667.869,575,74,34351.04899999999,5,May
2015-06-01,24797.292,3335.5572,486,68,29708.06233333333,6,June
2015-07-01,28765.325,3288.6483,557,66,27898.10116666666,7,July
2015-08-01,36898.3322,5355.8084,598,68,30153.64973333333,8,August
2015-09-01,64595.918,8209.162699999999,1086,140,43419.8584,9,September
2015-10-01,31404.9235,2817.366,631,87,44299.724566666664,10,October
2015-11-01,75972.5635,12474.7884,1310,158,57324.46833333332,11,November
2015-12-01,74919.5212,8016.965899999999,1203,161,60765.66939999999,12,December
2016-01-01,18542.490999999998,2824.8233,358,48,56478.1919,1,January
2016-02-01,22978.815000000002,5004.5795,306,45,38813.609066666664,2,February
2016-03-01,51715.875,3611.968,579,86,31079.060333333327,3,March
2016-04-01,38750.039,2977.8149,635,89,37814.90966666667,4,April
2016-05-01,56987.728,8662.1464,863,108,49151.214,5,May
2016-06-01,40344.534,4750.3781,742,97,45360.76699999999,6,June
2016-07-01,39261.963,4432.8778999999995,758,96,45531.40833333333,7,July
2016-08-01,31115.3743,2062.0693,693,90,36907.290433333335,8,August
2016-09-01,73410.0249,9328.6576,1316,192,47929.12073333332,9,September
2016-10-01,59687.745,16243.1425,767,105,54737.714733333334,10,October
2016-11-01,79411.9658,4011.4075000000003,1406,183,70836.57856666668,11,November
2016-12-01,96999.043,17885.3093,1414,176,78699.5846,12,December
2017-01-01,43971.374,7140.4391,597,69,73460.79426666668,1,January
2017-02-01,20301.1334,1613.872,363,53,53757.18346666667,2,February
2017-03-01,58872.3528,14751.8915,885,118,41048.286733333334,3,March
2017-04-01,36521.5361,933.2900000000001,733,116,38565.007433333325,4,April
2017-05-01,44261.1102,6342.5828,887,118,46551.66636666667,5,May
2017-06-01,52981.7257,8223.3357,931,133,44588.124,6,June
2017-07-01,45264.416,6952.6212,840,111,47502.4173,7,July
2017-08-01,63120.888,9040.9557,884,111,53789.009900000005,8,August
2017-09-01,87866.652,10991.5556,1660,226,65417.318666666666,9,September
2017-10-01,77776.9232,9275.2755,1133,147,76254.82106666667,10,October
2017-11-01,118447.825,9690.1037,1840,261,94697.1334,11,November
2017-12-01,83829.3188,8483.346800000001,1723,224,93351.35566666668,12,December
