date,forecast_sales,year,month
2018-01-01,49388.08180140873,2018,January
2018-02-01,41475.678356549644,2018,February
2018-03-01,75005.75087403288,2018,March
2018-04-01,61273.372430761665,2018,April
2018-05-01,67935.32548064952,2018,May
2018-06-01,65186.34555293484,2018,June
2018-07-01,66500.68940733076,2018,July
2018-08-01,66545.63974651849,2018,August
2018-09-01,107461.95555844877,2018,September
2018-10-01,77583.42490067791,2018,October
2018-11-01,115694.49047247627,2018,November
2018-12-01,116029.87429950412,2018,December
