feature,importance
lag_12,0.4863013734490012
month,0.22954255891264444
rolling_std_12,0.05937063489175875
trend,0.043511937026038984
rolling_mean_6,0.0296102034481707
quarter,0.026656622574833158
lag_2,0.026190216620374084
lag_6,0.02474098729996276
rolling_mean_12,0.02264524220007571
rolling_mean_3,0.016935643722997835
lag_1,0.007668887719716671
rolling_std_6,0.0062356131786083565
lag_3,0.005750582649337732
month_cos,0.005513830272560875
rolling_std_3,0.0052092496013899205
month_sin,0.0024507242565972275
year,0.001665692175931426
