sub_category,sales,profit
Tables,206965.532,-17725.4811
Bookcases,114879.9963,-3472.556
Supplies,46673.538,-1189.0995
Fasteners,3024.28,949.5182
Machines,189238.631,3384.7569
Labels,12486.312,5546.254
Art,27118.792,6527.787
Envelopes,16476.402,6964.1767
Furnishings,91705.164,13059.1436
Appliances,107532.161,18138.005400000002
Storage,223843.608,21278.8264
Chairs,328449.103,26590.1663
Binders,203412.733,30221.7633
Paper,78479.206,34053.5693
Accessories,167380.318,41936.6357
Phones,330007.054,44515.7306
Copiers,149528.03,55617.8249
